OID_,FID,COUNT,AREA,MEAN
100,100,8.000000000000000,44.255232000002700,45.241000175474994
101,101,2.000000000000000,11.063808000000675,44.576000213649998
102,102,8.000000000000000,44.255232000002700,44.064750194537496
103,103,8.000000000000000,44.255232000002700,44.547250270850000
104,104,3.000000000000000,16.595712000001011,44.262667338033332
105,105,6.000000000000000,33.191424000002023,45.285999933883339
106,106,8.000000000000000,44.255232000002700,43.786000251762502
107,107,5.000000000000000,27.659520000001688,44.986000823980000
108,108,4.000000000000000,22.127616000001350,44.903499603250005
109,110,4.000000000000000,22.127616000001350,44.291000366200002
110,112,9.000000000000000,49.787136000003038,44.655999501544450
111,113,4.000000000000000,22.127616000001350,44.906000137300005
112,114,8.000000000000000,44.255232000002700,45.096000194562500
113,115,1.000000000000000,5.531904000000337,45.066001892099997
